Area Name,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,,,
A LINCOLN BIRTHPL NHP,KY,SE,344.50,0.00,0.00,344.50,0.00,0.00,0.00,344.50,,,
ACADIA NP,ME,NE,"37,415.54","10,695.40",21.77,"48,132.71",48.22,876.43,924.65,"49,057.36",,,
ADAMS NHP,MA,NE,9.17,0.00,0.00,9.17,4.00,10.65,14.65,23.82,,,
AFRICAN BURIAL GROUND NM,NY,NE,0.35,0.00,0.00,0.35,0.00,0.00,0.00,0.35,,,
AGATE FOSSIL BEDS NM,NE,MW,"2,270.33",459.75,0.00,"2,730.08",24.43,303.36,327.79,"3,057.87",,,
ALAGNAK WILD RVR,AK,A,"26,417.85",0.00,0.00,"26,417.85","2,265.00","1,981.94","4,246.94","30,664.79",,,
ALIBATES FLINT QUARRIES N,TX,IM,"1,079.23",0.00,0.00,"1,079.23",0.00,291.74,291.74,"1,370.97",,,
ALLEGHENY PRTGE RR NHS,PA,NE,"1,255.02",0.00,0.00,"1,255.02",16.25,13.00,29.25,"1,284.27",,,
AMISTAD NRA,TX,IM,"57,292.44",0.00,0.00,"57,292.44",0.00,"1,207.56","1,207.56","58,500.00",,,
ANDERSONVILLE NHS,GA,SE,499.88,1.00,0.00,500.88,7.89,6.84,14.73,515.61,,,
ANDREW JOHNSON NHS,TN,SE,16.68,0.00,0.00,16.68,0.00,0.00,0.00,16.68,,,
ANIAKCHAK N PRESERVE,AK,A,"458,809.35",0.00,0.00,"458,809.35","5,147.00",161.58,"5,308.58","464,117.93",,,
ANIAKCHAK NM,AK,A,"137,176.00",0.00,0.00,"137,176.00",0.00,0.00,0.00,"137,176.00",,,
ANTIETAM NB,MD,NC,"1,937.09",805.68,0.00,"2,742.77",20.98,466.63,487.61,"3,230.38",,,
APOSTLE ISLANDS NL,WI,MW,"42,160.70",0.00,0.00,"42,160.70","27,216.73",0.00,"27,216.73","69,377.43",,,
APPALACHIAN NS TRAIL,ME TO GA 4/,NT,"106,352.00","14,685.44","58,264.08","179,301.52","49,294.96","8,142.85","57,437.81","236,739.33",,,
APPOMATTOX CRT HS NHP,VA,NE,"1,695.29",-0.48,0.00,"1,694.81",2.12,77.19,79.31,"1,774.12",,,
ARCHES NP,UT,IM,"76,545.95",0.00,0.00,"76,545.95",133.03,0.00,133.03,"76,678.98",,,
ARKANSAS POST NMEM,AR,MW,649.91,0.00,14.00,663.91,0.00,93.60,93.60,757.51,,,
"ARL HOUSE, R E LEE MEM",VA,NC,28.08,0.00,0.00,28.08,0.00,0.00,0.00,28.08,,,
ASSATEAGUE ISLAND NS,MD-VA 2/,NE,"8,983.42",102.16,"9,842.69","18,928.27","22,389.33",28.90,"22,418.23","41,346.50",,,
AZTEC RUINS NM,NM,IM,266.78,0.00,0.00,266.78,6.78,44.84,51.62,318.40,,,
BADLANDS NP,SD,MW,"111,487.63","122,321.50",0.00,"233,809.13",39.24,"8,907.57","8,946.81","242,755.94",,,
BANDELIER NM,NM,IM,"33,654.44",0.00,0.00,"33,654.44",0.00,22.23,22.23,"33,676.67",,,
BELMONT-PAUL WOMENS EQLTY NM,DC,NC,0.34,0.00,0.00,0.34,0.00,0.00,0.00,0.34,,,
BENT'S OLD FORT NHS,CO,IM,735.60,0.00,0.00,735.60,7.40,55.80,63.20,798.80,,,
BERING LAND BRIDGE N PRES,AK,A,"2,651,327.60",0.00,0.00,"2,651,327.60",0.00,"46,063.41","46,063.41","2,697,391.01",,,
BIG BEND NP,TX,IM,"775,273.38",0.00,0.00,"775,273.38","2,606.87","23,282.96","25,889.83","801,163.21",,,
BIG CYPRESS ADDITION,FL 5/,SE,"141,476.97",0.00,0.00,"141,476.97","3,541.14","1,092.58","4,633.72","146,110.69",,,
BIG CYPRESS N PRESERVE,FL 5/,SE,"535,797.22",0.00,1.48,"535,798.70","37,814.36",840.26,"38,654.62","574,453.32",,,
BIG HOLE NB,MT,PW,655.61,0.00,0.00,655.61,0.00,320.00,320.00,975.61,,,
BIG SOUTH FORK NR & RA,KY-TN,SE,"114,778.57",34.45,0.00,"114,813.02","2,845.50","6,035.58","8,881.08","123,694.10",,,
BIG THICKET N PRESERVE,TX,IM,"107,924.93",13.38,0.00,"107,938.31","3,465.70","1,096.80","4,562.50","112,500.81",,,
BIGHORN CANYON NRA,MT-WY,IM,"47,986.04",889.89,"19,614.94","68,490.87","1,392.29","50,413.06","51,805.35","120,296.22",,,
BISCAYNE NP,FL,SE,"171,021.23",0.00,26.13,"171,047.36","1,563.90",359.85,"1,923.75","172,971.11",,,
BLACK CANYON OF GUNNISON,CO,IM,"27,334.71","3,381.77",0.00,"30,716.48",0.00,33.27,33.27,"30,749.75",,,
BLACKSTONE RIVER VALLEY NHP,MA-RI,NE,0.00,0.00,0.00,0.00,0.00,"1,489.00","1,489.00","1,489.00",,,
BLUE RIDGE PKWY,NC-VA,NT,"85,425.79","2,775.57",125.00,"88,326.36",259.58,"10,188.10","10,447.68","98,774.04",,,
BLUESTONE NSR,WV,NE,"3,032.00",0.00,0.00,"3,032.00","1,236.00",41.51,"1,277.51","4,309.51",,,
BOOKER T WASHINGTON NM,VA,NE,239.01,0.00,0.00,239.01,0.00,0.00,0.00,239.01,,,
BOSTON AFRI-AMER NHS,MA,NE,0.00,0.00,0.00,0.00,0.06,0.53,0.59,0.59,,,
BOSTON HARBOR ISLAND NRA,MA,NE,0.06,240.51,5.00,245.57,988.74,248.00,"1,236.74","1,482.31",,,
BOSTON NHP,MA,NE,37.96,0.00,0.00,37.96,5.09,0.77,5.86,43.82,,,
BRICES CROSS RDS NBS,MS,SE,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,,,
BROWN V. BD OF ED. NHS,KS,MW,1.85,0.00,0.00,1.85,0.00,0.00,0.00,1.85,,,
BRYCE CANYON NP,UT,IM,"35,832.58",0.00,0.00,"35,832.58",0.00,2.50,2.50,"35,835.08",,,
BUCK ISLAND REEF NM,VI,SE,880.00,0.00,"18,135.47","19,015.47",0.00,0.00,0.00,"19,015.47",,,
BUFFALO N RVR,AR,MW,"88,385.39","3,427.70",0.00,"91,813.09","2,367.91",112.31,"2,480.22","94,293.31",,,
C & O CANAL NHP,MD-DC-WV,NC,"13,156.94","1,308.25",0.00,"14,465.19","3,173.62","1,973.56","5,147.18","19,612.37",,,
CABRILLO NM,CA,PW,159.94,0.00,0.00,159.94,0.00,0.00,0.00,159.94,,,
CANAVERAL NS,FL,SE,"17,735.69",0.00,"39,912.00","57,647.69",0.00,14.00,14.00,"57,661.69",,,
CANE RIVER CREOLE NHP,LA,SE,62.39,0.00,0.00,62.39,4.64,138.47,143.11,205.50,,,
